name,category,meeting_time,location,member_count,description
180 Degrees Consulting,Undergraduate Student Organization,TBD,TBD,11,A Undergraduate Student Organization organization at UC Merced.
Active Minds,Wellness,TBD,TBD,10,A Wellness organization at UC Merced.
Acts2Fellowship,"Community Service, Faith Based, Social","Friday | 6:30 PM, Sunday | 1:00 PM",Granite Pass 135,46,"A Community Service, Faith Based, Social organization at UC Merced."
African Student Union,"Cultural, Undergraduate Student Organization",6:00 PM,Black Scholars' Resource Center,58,"A Cultural, Undergraduate Student Organization organization at UC Merced."
Agricultural Insects & Plants,"Academic, Graduate Student Organization, Special Interest, Undergraduate Student Organization",TBD,TBD,5,"A Academic, Graduate Student Organization, Special Interest, Undergraduate Student Organization organization at UC Merced."
AgTech,"Academic, Community Service, Cultural, Art, Leadership, Social, Special Interest, Music",Friday 4PM,UCM Greenhouse/Experimental Smart Farm (Transportation will be provided to site),25,"A Academic, Community Service, Cultural, Art, Leadership, Social, Special Interest, Music organization at UC Merced."
Alpha Kappa Psi,"Leadership, Professional, Undergraduate Student Organization, Fraternity & Sorority",Brothers Only,Brothers Only,34,"A Leadership, Professional, Undergraduate Student Organization, Fraternity & Sorority organization at UC Merced."
Alpha Omega Campus Ministry,"Faith Based, Community Service, Social","Wednesday & Friday | 7 PM, Sunday | 10 AM",1195 Pinnacle Dr,8,"A Faith Based, Community Service, Social organization at UC Merced."
American Institute of Aeronautics and Astronautics,"Special Interest, Undergraduate Student Organization, Community Service, Professional",TBD,TBD,66,"A Special Interest, Undergraduate Student Organization, Community Service, Professional organization at UC Merced."
American Medical Student Association,"Professional, Undergraduate Student Organization",Tuesday at 6:30 pm,COB1 105,101,"A Professional, Undergraduate Student Organization organization at UC Merced."
American Medical Women's Association,"Undergraduate Student Organization, Special Interest, Professional, Leadership",TBD,TBD,17,"A Undergraduate Student Organization, Special Interest, Professional, Leadership organization at UC Merced."
American Red Cross Club,"Community Service, Undergraduate Student Organization, Wellness",TBD,TBD,30,"A Community Service, Undergraduate Student Organization, Wellness organization at UC Merced."
American Society of Biochemistry and Molecular Biology,"Professional, Undergraduate Student Organization",Thursday | 7 PM,"COB 1, 116",56,"A Professional, Undergraduate Student Organization organization at UC Merced."
American Society Of Civil Engineers Student Chapter at UC Merced,"Undergraduate Student Organization, Professional",7:30 PM - 8:30 PM,SSB 160,101,"A Undergraduate Student Organization, Professional organization at UC Merced."
"American Society of Heating, Refrigerating and Air-Conditioning Engineers","Undergraduate Student Organization, Leadership, Professional","6-7 PM, Tues Biweekly",COB2 170,10,"A Undergraduate Student Organization, Leadership, Professional organization at UC Merced."
American Society of Mechanical Engineers at UC Merced,"Undergraduate Student Organization, Professional, Social",7:30 PM,SSB 160,122,"A Undergraduate Student Organization, Professional, Social organization at UC Merced."
Anthropology Society,"Undergraduate Student Organization, Graduate Student Organization",Wednesdays 5:00 - 7:00 PM,COB 1 207,17,"A Undergraduate Student Organization, Graduate Student Organization organization at UC Merced."
Asian American Association,"Undergraduate Student Organization, Social, Cultural",TBD,TBD,18,"A Undergraduate Student Organization, Social, Cultural organization at UC Merced."
Associated Students of UC Merced,"Professional, Leadership, Undergraduate Student Organization, UC Merced Department or Area, Student Government",Wednesday | 7:30 PM,Conference Center 110,20,"A Professional, Leadership, Undergraduate Student Organization, UC Merced Department or Area, Student Government organization at UC Merced."
Association for Computing Machinery,"Professional, Academic, Graduate Student Organization, Undergraduate Student Organization","7:30pm on Tuesdays, Bi-weekly",TBD,76,"A Professional, Academic, Graduate Student Organization, Undergraduate Student Organization organization at UC Merced."
Astronomy Club,Undergraduate Student Organization,Check Catlife,Check Catlife,155,A Undergraduate Student Organization organization at UC Merced.
Ballet Folklórico,"Cultural, Dance, Recreation and Athletics, Special Interest",6pm - 8pm,Check our Instagram page for practice locations!,53,"A Cultural, Dance, Recreation and Athletics, Special Interest organization at UC Merced."
Bangladeshi Student Association,"Cultural, Social",TBD,TBD,22,"A Cultural, Social organization at UC Merced."
Battery Workforce Challenge,Professional,Friday 1-2 PM,Admin 255,14,A Professional organization at UC Merced.
Bhagat Puran Singh Health Initiative,Community Service,TBD,TBD,24,A Community Service organization at UC Merced.
Biophysics Graduate Club,"Academic, Graduate Student Organization",TBD,ACS 230B or Zoom,12,"A Academic, Graduate Student Organization organization at UC Merced."
Bird Seekers and Ornithological Naturalist Group,"Special Interest, Social",TBD,TBD,12,"A Special Interest, Social organization at UC Merced."
Black Student Coalition,"Undergraduate Student Organization, Wellness, Social, Community Service, Cultural",6:30 PM,TBD,262,"A Undergraduate Student Organization, Wellness, Social, Community Service, Cultural organization at UC Merced."
Black Student Union,"Academic, Community Service, Cultural, Leadership, Social, Undergraduate Student Organization, Advocacy",2nd & 4th Friday | @6 PM,TBD,33,"A Academic, Community Service, Cultural, Leadership, Social, Undergraduate Student Organization, Advocacy organization at UC Merced."
BobCAD,"Academic, Undergraduate Student Organization, Special Interest",TBD,KL 208,100,"A Academic, Undergraduate Student Organization, Special Interest organization at UC Merced."
Bobcat Band at UC Merced,"Art, Social, Music","Band: Mondays & Wednesdays, 6:30 - 8:40 PM | Orchestra: Mondays & Wednesdays, 8:50 - 11:00 PM | The Jazzcats: Fridays, 5:00 - 8:00 PM","Band, Orchestra, & Jazzcats: ACS 108",98,"A Art, Social, Music organization at UC Merced."
Bobcat Boxing Club,"Social, Wellness, Undergraduate Student Organization, Special Interest",7:30 - 9:00pm,SSB 130,40,"A Social, Wellness, Undergraduate Student Organization, Special Interest organization at UC Merced."
Bobcat Community Builders,"Undergraduate Student Organization, Wellness, Community Service, Leadership, Social",Tuesday | 5:30 PM,GRAN 145,37,"A Undergraduate Student Organization, Wellness, Community Service, Leadership, Social organization at UC Merced."
Bobcat Law School Admissions Test Preparation and Studying Club,"Undergraduate Student Organization, Academic",Monday 7:30pm-8:30pm,TBD,7,"A Undergraduate Student Organization, Academic organization at UC Merced."
Bobcat Mock Trial,"Academic, Professional, Leadership",TBD,GR 155,12,"A Academic, Professional, Leadership organization at UC Merced."
Bobcat Model United Nations,"Social, Leadership, Academic",Tuesday | 6:30PM,Admin 262,10,"A Social, Leadership, Academic organization at UC Merced."
Bobcat Range,Undergraduate Student Organization,TBD,TBD,1,A Undergraduate Student Organization organization at UC Merced.
Bobcat?Magica,"Art, Social, Special Interest",Mondays: 7:30pm -8:45pm,COB2 Room 263,7,"A Art, Social, Special Interest organization at UC Merced."
Bobcats on Broadway,"Undergraduate Student Organization, Art, Social",Mondays 7:00PM-8:00PM,p,12,"A Undergraduate Student Organization, Art, Social organization at UC Merced."
Campus 2 Community Outreach,Medical/Health,TBD,TBD,7,A Medical/Health organization at UC Merced.
Campus Activities Board,"Undergraduate Student Organization, Community Service, Social, Leadership, Professional",Members Only,Members Only,28,"A Undergraduate Student Organization, Community Service, Social, Leadership, Professional organization at UC Merced."
"Campus Advocacy, Resources and Education","Advocacy, UC Merced Department or Area",TBD,TBD,2,"A Advocacy, UC Merced Department or Area organization at UC Merced."
Campus Compass,"Undergraduate Student Organization, Academic",Every Thursday (6:30pm-8pm),Glacier Point 165,11,"A Undergraduate Student Organization, Academic organization at UC Merced."
Car Club,Special Interest,TBD,TBD,6,A Special Interest organization at UC Merced.
Cat Court (Moot Court of UC Merced),"Academic, Leadership, Professional",7:30-9PM Thursdays,Granite 145,21,"A Academic, Leadership, Professional organization at UC Merced."
Catholic Newman Club,"Faith Based, Undergraduate Student Organization, Graduate Student Organization",Thursday | 6 PM,Granite Pass 170,20,"A Faith Based, Undergraduate Student Organization, Graduate Student Organization organization at UC Merced."
Chess Club,"Social, Special Interest",Friday | 6 PM,Granite Pass 130,42,"A Social, Special Interest organization at UC Merced."
Chi Alpha: Merced Christian Fellowship,Faith Based,Wednesday| 7 PM,COB2 130,23,A Faith Based organization at UC Merced.
Chinese Cultural Club,Cultural,6:00-8:00PM Thursdays,Granite 140,15,A Cultural organization at UC Merced.
Choir Club,Music,TBD,TBD,1,A Music organization at UC Merced.
Christians on Campus at UCM,"Undergraduate Student Organization, Faith Based",4:30 PM,TBD,9,"A Undergraduate Student Organization, Faith Based organization at UC Merced."
Cognitive Science Student Association,"Academic, Social, Special Interest, Undergraduate Student Organization",6:30PM,ADMIN 353,28,"A Academic, Social, Special Interest, Undergraduate Student Organization organization at UC Merced."
College Democrats at UC Merced,"Community Service, Leadership, Undergraduate Student Organization, Advocacy","Bi-Weekly Thursdays, 6:00 - 7:00PM",Granite Pass 115,13,"A Community Service, Leadership, Undergraduate Student Organization, Advocacy organization at UC Merced."
Community Campus Garden,"Community Service, Social, UC Merced Department or Area",Friday | 9 AM to 11 AM,Ranchers Rd. (Behind Valley Terraces),28,"A Community Service, Social, UC Merced Department or Area organization at UC Merced."
Community Engagement Center,"Community Service, UC Merced Department or Area",Monday-Friday | 9 AM to 5 PM,KL 190,28,"A Community Service, UC Merced Department or Area organization at UC Merced."
Compost Club at UC Merced,"Community Service, Undergraduate Student Organization","Every other Wednesday, 7:15-8:00 PM",Granite Pass 162,12,"A Community Service, Undergraduate Student Organization organization at UC Merced."
Critical Race and Ethnic Studies Club,"Social, Academic, Undergraduate Student Organization",TBD,TBD,2,"A Social, Academic, Undergraduate Student Organization organization at UC Merced."
Crochet Club,"Special Interest, Social",Wednesday 4:45pm-6:45pm,COB2 264,43,"A Special Interest, Social organization at UC Merced."
Data Science Society,"Professional, Social, Undergraduate Student Organization",TBD,TBD,31,"A Professional, Social, Undergraduate Student Organization organization at UC Merced."
Delta Delta Delta,"Fraternity & Sorority, Social",Sisters Only,Sisters Only,29,"A Fraternity & Sorority, Social organization at UC Merced."
Delta Epsilon Mu,"Fraternity & Sorority, Undergraduate Student Organization, Wellness, Professional, Leadership, Academic",Actives Only,Actives Only,12,"A Fraternity & Sorority, Undergraduate Student Organization, Wellness, Professional, Leadership, Academic organization at UC Merced."
Delta Gamma,Fraternity & Sorority,Sisters Only,Sisters Only,26,A Fraternity & Sorority organization at UC Merced.
Delta Sigma Pi,"Community Service, Professional, Leadership, Fraternity & Sorority, Undergraduate Student Organization",Brothers Only,Brothers Only,22,"A Community Service, Professional, Leadership, Fraternity & Sorority, Undergraduate Student Organization organization at UC Merced."
"Delta Sigma Theta Sorority, Incorporated","Cultural, Fraternity & Sorority",Sisters Only,Sisters Only,3,"A Cultural, Fraternity & Sorority organization at UC Merced."
Demonstration Team,"Special Interest, Recreation and Athletics, Undergraduate Student Organization, Wellness, Art, Cultural, Social",TBD,TBD,4,"A Special Interest, Recreation and Athletics, Undergraduate Student Organization, Wellness, Art, Cultural, Social organization at UC Merced."
Dermatology Club,Medical/Health,7:30,Admin 364,34,A Medical/Health organization at UC Merced.
Dhamaka,"Undergraduate Student Organization, Dance",TBD,TBD,7,"A Undergraduate Student Organization, Dance organization at UC Merced."
Disc Golf Organization at UC Merced,"Social, Recreation and Athletics, Special Interest, Undergraduate Student Organization",TBD,TBD,4,"A Social, Recreation and Athletics, Special Interest, Undergraduate Student Organization organization at UC Merced."
Diva Stride Run Club,"Wellness, Recreation and Athletics, Undergraduate Student Organization, Social",Fridays from 5:30pm - 6:30pm,GLCR 120,15,"A Wellness, Recreation and Athletics, Undergraduate Student Organization, Social organization at UC Merced."
Diversified Doctors,"Undergraduate Student Organization, Academic, Professional",Tuesday | 6:30 PM,Glacier Point 155,53,"A Undergraduate Student Organization, Academic, Professional organization at UC Merced."
Dungeons and Dragons Club,"Gaming, Social",Friday | 12 PM,Glacier 150,67,"A Gaming, Social organization at UC Merced."
East African Student Association,"Academic, Cultural, Social",Tuesday @6:30,TBD,61,"A Academic, Cultural, Social organization at UC Merced."
Economics Club,"Special Interest, Academic",WED | 7:30 - 8:30PMA,Granite 115,24,"A Special Interest, Academic organization at UC Merced."
El Club de Español,"Undergraduate Student Organization, Wellness, Cultural, Social",5:00 pm on Fridays,Admin 265,18,"A Undergraduate Student Organization, Wellness, Cultural, Social organization at UC Merced."
Entrepreneurship Society,Professional,TBD,TBD,1,A Professional organization at UC Merced.
Financial Wellness Center,UC Merced Department or Area,TBD,TBD,1,A UC Merced Department or Area organization at UC Merced.
First Response,"Wellness, Advocacy, Special Interest",Wednesdays 2:00 pm - 3:30 pm,GLCR 145,10,"A Wellness, Advocacy, Special Interest organization at UC Merced."
Fraternity and Sorority Council,"Leadership, Fraternity & Sorority",TBD,TBD,1,"A Leadership, Fraternity & Sorority organization at UC Merced."
Fraternity and Sorority Life,"Fraternity & Sorority, Community Service, Cultural, Leadership, Social",Monday-Friday | 8 AM to 5 PM,Granite Pass 163,3,"A Fraternity & Sorority, Community Service, Cultural, Leadership, Social organization at UC Merced."
Game Development Club,"Undergraduate Student Organization, Gaming",TBD,TBD,37,"A Undergraduate Student Organization, Gaming organization at UC Merced."
General Public Speaking at UC Merced,Special Interest,Every other Tuesday @ 5:00 pm,Glacier Point 155,8,A Special Interest organization at UC Merced.
Global Medical Training,"Community Service, Undergraduate Student Organization",Friday | 6 PM,GRAN 135,33,"A Community Service, Undergraduate Student Organization organization at UC Merced."
Google Developer Group on Campus: UC Merced,"Undergraduate Student Organization, Academic",5:00 PM,COB1 113,140,"A Undergraduate Student Organization, Academic organization at UC Merced."
Grad Nomads,"Graduate Student Organization, Cultural, Academic, Social, Professional",TBD,TBD,10,"A Graduate Student Organization, Cultural, Academic, Social, Professional organization at UC Merced."
Graduate Pedagogy Association,"Graduate Student Organization, Social, Professional, Leadership",1PM - 2PM,COB2 392,55,"A Graduate Student Organization, Social, Professional, Leadership organization at UC Merced."
Graduates for Diversity,"Leadership, Graduate Student Organization, Advocacy",TBS,TBD,1,"A Leadership, Graduate Student Organization, Advocacy organization at UC Merced."
Ground State,Graduate Student Organization,TBD,TBD,7,A Graduate Student Organization organization at UC Merced.
HackMerced,"Undergraduate Student Organization, Professional",TBD,TBD,11,"A Undergraduate Student Organization, Professional organization at UC Merced."
Health Promotion,UC Merced Department or Area,Monday-Friday | 9 AM to 5 PM,Granite Pass 159,11,A UC Merced Department or Area organization at UC Merced.
